time,pH_sp,stage1_pH,stage2_pH,q_NaOH_m3_d,u_NaOH_kmol_d,q_HCl_m3_d,u_HCl_kmol_d,stage1_T_K,stage2_T_K,stage1_V_liq_m3,stage2_V_liq_m3,prbs_segment
189.125,7.0,7.235577240569763,6.99449509928447,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.1354167,7.0,7.2355536137574035,6.994514777645986,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.1458333,7.0,7.235577242850013,6.994532866699066,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.15625,7.0,7.235553613770662,6.994549647763607,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.1666667,7.0,7.2355772560172245,6.994565604929351,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.1770833,7.0,7.23555363212369,6.994580746396719,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.1875,7.0,7.23557724057618,6.994595207122173,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.1979167,7.0,7.235553613763774,6.9946089168065235,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.2083333,7.0,7.235577242856383,6.994621993983656,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.21875,7.0,7.235553613777019,6.994634347140584,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.2291667,7.0,7.235577256023524,6.9946460917307824,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.2395833,7.0,7.23555363213012,6.994657083263686,0.0,0.0,0.5127343029635943,5.793897623488617,328.15,308.15,2720.0,680.0,
189.25,7.0,7.235577240582458,6.994667362563845,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.2604167,7.0,7.235553613770146,6.994686368873321,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.2708333,7.0,7.235577242862707,6.994703434995434,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.28125,7.0,7.235553613783343,6.994719549840871,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.2916667,7.0,7.235577256029875,6.994734971404321,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.3020833,7.0,7.235553632136342,6.994749645477453,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.3125,7.0,7.235577240588796,6.994763675558577,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.3229167,7.0,7.2355536137764185,6.9947769855288735,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.3333333,7.0,7.235577242869029,6.994789686923131,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.34375,7.0,7.235553613789677,6.994801676428041,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.3541667,7.0,7.235577256036112,6.99481307259841,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.3645833,7.0,7.235553632142633,6.994823787909579,0.0,0.0,0.5113291771530966,5.778019701829992,328.15,308.15,2720.0,680.0,
189.375,7.0,7.235577240595073,6.994833916589668,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.3854167,7.0,7.23555361378267,6.994852574046784,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.3958333,7.0,7.235577242875295,6.994869525474598,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.40625,7.0,7.235553613795922,6.994885559281839,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4166667,7.0,7.235577256042271,6.994900923715029,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4270833,7.0,7.2355536321488625,6.994915574581497,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4375,7.0,7.235577240601227,6.994929626690791,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4479167,7.0,7.235553613788876,6.99494300092242,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4583333,7.0,7.235577242881511,6.994955800473587,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.46875,7.0,7.235553613802093,6.994967943933739,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4791667,7.0,7.235577256048531,6.994979559706208,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.4895833,7.0,7.235553632155052,6.994990576036246,0.0,0.0,0.5099638619351924,5.762591639867675,328.15,308.15,2720.0,680.0,
189.5,7.0,7.235577240607463,6.995001112849283,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5104167,7.0,7.235553613795104,6.995019537168036,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5208333,7.0,7.235577242887646,6.99503748830006,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.53125,7.0,7.235553613808255,6.995053405634783,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5416667,7.0,7.235577256054777,6.995068288660454,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5520833,7.0,7.235553632161215,6.995082636879837,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5625,7.0,7.235577240613645,6.995096441443716,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5729167,7.0,7.235553613801178,6.9951096764497125,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.5833333,7.0,7.235577242893949,6.995122578319865,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.59375,7.0,7.235553613814437,6.995135063933767,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.6041667,7.0,7.23557725606096,6.995147381309874,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.6145833,7.0,7.235553632167327,6.995159775107509,0.0,0.0,0.5087174745649029,5.748507462583403,328.15,308.15,2720.0,680.0,
189.625,7.0,7.23557724061984,6.995173705204043,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.6354167,7.0,7.235553613807355,6.995189680128197,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.6458333,7.0,7.235577242899933,6.995198672196405,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.65625,7.0,7.235553613820529,6.9952317601072895,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.6666667,7.0,7.235577256066967,6.995205548613538,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.6770833,7.0,7.235553632173472,6.995231467240288,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.6875,7.0,7.235577240625844,6.995247271522398,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.6979167,7.0,7.235553613813406,6.995261766732653,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.7083333,7.0,7.235577242906053,6.995275267588176,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.71875,7.0,7.235553613826552,6.995292583368274,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.7291667,7.0,7.23557725607308,6.995280075775914,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.7395833,7.0,7.235553632179515,6.995302403247172,0.0,0.0,0.5076524939185948,5.736473181280122,328.15,308.15,2720.0,680.0,
189.75,7.0,7.235577240631937,6.995313845574245,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.7604167,7.0,7.235553613819468,6.995335758073298,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.7708333,7.0,7.235577242912054,6.995348318299017,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.78125,7.0,7.235553613832563,6.99536217792392,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.7916667,7.0,7.235577256079096,6.9953759980920225,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.8020833,7.0,7.235553632185501,6.995387876985007,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.8125,7.0,7.235577240637959,6.995404159855972,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.8229167,7.0,7.235553613825467,6.995402856216078,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.8333333,7.0,7.235577242918091,6.995428621745502,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.84375,7.0,7.2355536138385865,6.995434121790511,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.8541667,7.0,7.235577256085093,6.9954567038198645,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.8645833,7.0,7.235553632191461,6.9954384191879,0.0,0.0,0.5062784668066546,5.720946674915196,328.15,308.15,2720.0,680.0,
189.875,7.0,7.235577240643953,6.995462346564415,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.8854167,7.0,7.2355536138314145,6.995485009542471,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.8958333,7.0,7.235577242924078,6.995519988983399,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.90625,7.0,7.235553613844532,6.99548439555465,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9166667,7.0,7.235577256091052,6.995515030867492,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9270833,7.0,7.235553632197453,6.995538483077594,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9375,7.0,7.2355772406498176,6.995557442259777,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9479167,7.0,7.235553613837354,6.995565682310267,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9583333,7.0,7.235577242930058,6.995574040894995,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.96875,7.0,7.235553613850442,6.995594834899683,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9791667,7.0,7.235577256097011,6.995582912519649,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
189.9895833,7.0,7.235553632203365,6.995608658720512,0.0,0.0,0.5051065852010779,5.7077044127721805,328.15,308.15,2720.0,680.0,
190.0,7.0,7.2355772406557595,6.9956263283850895,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0104167,7.0,7.235553613843251,6.995622773210245,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0208333,7.0,7.235577242935851,6.995652063287357,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.03125,7.0,7.235553613856311,6.9956664603662455,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0416667,7.0,7.235577256102874,6.995661128255471,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0520833,7.0,7.235553632209266,6.995690568087655,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0625,7.0,7.235577240661596,6.9957072578908654,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0729167,7.0,7.235553613849162,6.995693170701934,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.0833333,7.0,7.235577242941684,6.995720012209748,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.09375,7.0,7.235553613862188,6.995739360699097,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.1041667,7.0,7.235577256108649,6.9957264837710085,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.1145833,7.0,7.235553632215036,6.995752216413902,0.0,0.0,0.5042353389871455,5.697859330554744,328.15,308.15,2720.0,680.0,
190.125,7.0,7.235577240667461,6.995786259719896,0.0,0.0,0.5034200588784861,5.688646665326893,328.15,308.15,2720.0,680.0,
190.1354167,7.0,7.235553613854977,6.99573076517707,0.0,0.0,0.5034200588784861,5.688646665326893,328.15,308.15,2720.0,680.0,
