prbs_segment,start_d,end_d,duration_d,pH_sp,stage2_pH_start,stage2_pH_end,stage2_pH_min,stage2_pH_max,MAE_pH,RMSE_pH,final_abs_error_pH,q_NaOH_max_m3_d,q_HCl_max_m3_d
81,143.60934501085745,144.70232622238797,1.092981211530514,8.4,6.9949803166961,8.394273361357852,6.9949803166961,8.499217315241681,0.09829248588742806,0.29823553204118,0.005726638642148174,8.032044065431666,0.9321016570788888
82,144.70232622238797,147.0491471738477,2.3468209514597334,7.0,8.394300262008533,6.995914871346493,6.88128707624242,8.394408452081537,0.07094198511767122,0.27139279335047717,0.004085128653507297,0.4135841703223647,17.91041905199992
83,147.0491471738477,148.76665982837488,1.7175126545271837,8.4,6.995956821321354,8.39625114680812,6.995956821321354,8.503349771911385,0.11478554093540255,0.3576143763291007,0.0037488531918796753,8.035181753371537,0.9666588971418092
84,148.76665982837488,150.706856409019,1.9401965806441126,7.0,8.396268955453136,6.995384029599118,6.889951292066844,8.396448287708438,0.13103984505406133,0.39052891058478123,0.004615970400881686,0.3729608760651585,17.91247104404362
85,150.706856409019,152.26264953292952,1.5557931239105187,8.4,6.995417746114903,8.395580848723325,6.995417746114903,8.499401894684457,0.09816707858319602,0.31885855774101524,0.004419151276675137,8.032093216983704,0.9289425438299186
86,152.26264953292952,153.04344437303962,0.7807948401101044,7.0,8.3956017670432,6.994862128971085,6.8908897432361504,8.39581220741902,0.316424347111979,0.614603834871414,0.005137871028915164,0.3640483155855664,17.91205876298154
87,153.04344437303962,154.66433564688782,1.6208912738482013,8.4,6.99476454578543,8.39439407847747,6.994059618075753,8.491330920051857,0.12312898098063625,0.3707593210876251,0.005605921522530366,8.023888635619208,0.8589157775719607
88,154.66433564688782,157.6587104599824,2.9943748130945664,7.0,8.394420503193425,6.996005990318023,6.896483273515663,8.394632048128397,0.07667836361853408,0.2910570463236374,0.003994009681976607,0.3245860282091797,17.91173037072441
89,157.6587104599824,160.11723589507426,2.4585254350918717,8.4,6.995972666612574,8.397318631008973,6.995972666612574,8.50215677493439,0.08714650636797447,0.31277275755154704,0.002681368991027,8.033893619797519,0.9527721177567174
90,160.11723589507426,162.13755593758793,2.0203200425136743,7.0,8.397331906093639,6.995325996375703,6.900693898729467,8.397331906093639,0.055282922485793265,0.21448901037474422,0.00467400362429693,0.3140016228758757,17.913635063594345
91,162.13755593758793,164.14349983746183,2.0059438998738983,8.4,6.9953414754114265,8.396235413583584,6.9953414754114265,8.497594787498642,0.12138501202371159,0.37578257726662917,0.0037645864164161935,8.030497856943224,0.9087013806823492
92,164.14349983746183,166.5835931836938,2.4400933462319756,7.0,8.396253048480014,6.995639314106813,6.898407568281225,8.396429840964357,0.10520558063581167,0.34757429878619606,0.004360685893186833,0.3227682934511571,17.91290744046463
93,166.5835931836938,168.58091931974351,1.9973261360497077,8.4,6.995669796067167,8.396490588201502,6.995630189241141,8.499381990993793,0.0705283515877441,0.2636330325804054,0.0035094117984986184,8.031933174229875,0.9262117693818536
94,168.58091931974351,170.5465329600398,1.965613640296283,7.0,8.396507628396932,6.995239159797541,6.897113972199938,8.396575828856461,0.0854635765511193,0.2971952835617969,0.004760840202458816,0.3312025626382757,17.91294168800502
95,170.5465329600398,173.33934556098487,2.7928126009450693,8.4,6.995252827541726,8.397377643042844,6.995252827541726,8.4977983230045,0.07221278289865818,0.2812268713669095,0.002622356957155958,8.030780602465816,0.9125459840404928
96,173.33934556098487,174.91100780414695,1.5716622431620806,7.0,8.397390175258725,6.994412901561056,6.908139062617956,8.39742784100621,0.09810083369311359,0.3131553531559832,0.005587098438944338,0.2704244209616934,17.91405092749368
97,174.91100780414695,175.41225148091712,0.5012436767701729,8.4,6.9944272145737685,8.401512932198575,6.9944272145737685,8.491602809566615,0.41260650847695257,0.6962970197925562,0.0015129321985742905,8.026002993226163,0.852198808128192
98,175.41225148091712,177.8681952715439,2.455943790626776,7.0,8.400827201317627,6.996023378839322,6.876673243901766,8.400827201317627,0.09071255174157003,0.3217700505499659,0.0039766211606782065,0.4273349882503329,17.952517274197344
99,177.8681952715439,180.4152611622676,2.547065890723701,8.4,6.996016291986302,8.397511558318959,6.996016291986302,8.503465966740386,0.03843627519422145,0.172991425149168,0.0024884416810415644,8.034969744846515,0.9685580172532504
100,180.4152611622676,181.6476737862746,1.2324126240069972,7.0,8.397523312647648,6.994218060125674,6.90310182373859,8.397617415080601,0.18104212463352207,0.4543425278724652,0.005781939874325737,0.3012438072401848,17.913966719366154
101,181.6476737862746,183.92783842782532,2.2801646415507264,8.4,6.9942330507066295,8.396072044959366,6.9942330507066295,8.49057050807204,0.10111946052143454,0.3397071501848006,0.003927955040634146,8.025201328674628,0.8427766585045039
102,183.92783842782532,185.3927536127322,1.4649151849068858,7.0,8.396090539935837,6.993986315608136,6.906421381456028,8.39620131555226,0.13420566759830957,0.38361578875112345,0.006013684391864338,0.2740729807588019,17.913204061378952
103,185.3927536127322,187.31030496044815,1.9175513477159427,8.4,6.994004164746094,8.395248339334811,6.994004164746094,8.490793654211807,0.12724813827610068,0.3848574956507406,0.00475166066518895,8.025425621915733,0.8476543292171012
104,187.31030496044815,190.2032494684552,2.892944508007048,7.0,8.395270863839372,6.995847874267171,6.901079727835636,8.395405929798628,0.06961973066922547,0.2719141618631648,0.004152125732828971,0.3014838258812595,17.912431386638946
105,190.2032494684552,190.93975145588897,0.736501987433769,8.4,6.995848153379453,8.394616167056203,6.995836120151018,8.500851283623623,0.20145785516979206,0.46301855823481947,0.0053838329437976284,8.03342407892734,0.9400801362972068
106,190.93975145588897,193.0832776327623,2.143526176873337,7.0,8.39458115863145,6.996228011833223,6.8726083405324285,8.39458115863145,0.08321194207269583,0.3003931247511321,0.0037719881667772626,0.4635751717957588,17.91314249255175
107,193.0832776327623,195.20257791205148,2.1193002792891775,8.4,6.996265856816898,8.397080401672756,6.996245922082689,8.504713022623575,0.07276533122282752,0.27265023142263045,0.0029195983272440884,8.036004389414211,0.979218940347664
108,195.20257791205148,195.92873850067107,0.7261605886195923,7.0,8.397094684695073,6.995446186922095,6.8951246332742375,8.39715188580447,0.22213819657688658,0.48856037897468385,0.004553813077905033,0.3460211954908833,17.91326112543396
109,195.92873850067107,197.75777714402545,1.8290386433543802,8.4,6.995304122584563,8.395007677645788,6.994437001208893,8.489876105453202,0.10157513873987589,0.33242513884421454,0.00499232235421232,8.021871841570885,0.8397123314893971
110,197.75777714402545,199.2363848633194,1.478607719293933,7.0,8.395030698452613,6.993874797409986,6.901702815405557,8.395284353011437,0.1804161541776267,0.461767694289086,0.006125202590014034,0.2971404463728054,17.912401149554107
111,199.2363848633194,200.2156164627181,0.9792315993987017,8.4,6.99388544786665,8.392869307081664,6.99388544786665,8.49124447964503,0.10954843147299552,0.31719105946222714,0.007130692918336123,8.025832054883498,0.8555234437893547
112,200.2156164627181,201.3027156356805,1.0870991729624109,7.0,8.392899717129836,6.993531265036646,6.886086767554404,8.392991501813075,0.1327067178572429,0.37272790538463985,0.006468734963354095,0.3776144469655134,17.9097921119839
113,201.3027156356805,204.1401917917599,2.83747615607939,8.4,6.993549267537729,8.396829998514852,6.993549267537729,8.494669783511048,0.06683358437873343,0.2664405244946967,0.003170001485148788,8.028564235775496,0.8973287132879655
114,204.1401917917599,205.9803348916395,1.8401430998796116,7.0,8.396844552292483,6.994313660539637,6.910460045754841,8.396989473827968,0.1398131250856238,0.40099486023853576,0.005686339460362788,0.2542914135598664,17.914016305139803
115,205.9803348916395,206.91445064228665,0.9341157506471518,8.4,6.9943227079153125,8.393047900933851,6.9943227079153125,8.491518860692045,0.11516238822813668,0.3258208902706572,0.006952099066149131,8.02596955026602,0.8534030360315541
116,206.91445064228665,209.74679189198895,2.8323412497022957,7.0,8.393076405957158,6.996078670483995,6.886404074725263,8.393307672672279,0.07981084617471255,0.29893154117713605,0.003921329516004768,0.3774639959362686,17.909900287941237
117,209.74679189198895,210.6099078342744,0.8631159422854466,8.4,6.996112120750443,8.394745623910419,6.996112120750443,8.503088946571038,0.1056840438021906,0.29664204764446284,0.005254376089581569,8.034794661505886,0.9628368297804444
118,210.6099078342744,211.40588479387836,0.7959769596039621,7.0,8.394752836500455,6.994570179913058,6.873018882038522,8.394760265853408,0.14415222606417805,0.3757129264622542,0.005429820086941817,0.4641387533242667,17.91085692793703
119,211.40588479387836,212.52690051218744,1.1210157183090814,8.4,6.99455103084075,8.393864218083607,6.99455103084075,8.500086047814479,0.19951001717709782,0.48240940402523075,0.006135781916393412,8.032540462533408,0.9472355643586758
120,212.52690051218744,213.11322999434424,0.586329482156799,7.0,8.39389190060431,6.999603970159868,6.879719461148615,8.394144368211062,0.3936923016489671,0.6849297819663704,0.00039602984013242803,0.4213981200419722,17.910321949475993
121,213.11322999434424,215.29630105390865,2.183071059564412,8.4,6.998585855586616,8.395571174077372,6.997565075616229,8.494350591768645,0.05219962799267778,0.21101488688900089,0.004428825922628832,8.002824258610227,0.9015040030396024
122,215.29630105390865,217.70515570717325,2.408854653264598,7.0,8.395591781362324,6.995097758865887,6.902645852269803,8.395735920866116,0.08950619108468308,0.312269706328015,0.004902241134113083,0.2938283883729374,17.913013805498835
123,217.70515570717325,220.45009862661607,2.7449429194428205,8.4,6.995117815273332,8.397308751185408,6.995117815273332,8.497899656540511,0.05740514441276127,0.24056548601726074,0.002691248814592484,8.030827130712778,0.9157491245813064
124,220.45009862661607,223.1675145888736,2.717415962257519,7.0,8.397321571334302,6.995700284354074,6.907937866966143,8.397372770096174,0.06416697252516503,0.25341271741662674,0.004299715645926128,0.2713123431568489,17.91403042982629
125,223.1675145888736,224.3104437929788,1.1429292041052008,8.4,6.995725560600527,8.394736218753872,6.995725560600527,8.499022768307684,0.17165787872992866,0.44063907400315394,0.005263781246128474,8.031625790700613,0.9207566246106296
126,224.3104437929788,225.26208261558048,0.9516388226016943,7.0,8.394760685023968,6.994250951221046,6.882540277670495,8.394908949749663,0.19652068128730574,0.4718023103441748,0.005749048778953991,0.408915371428421,17.910590948924266
