episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
36,56,2072,6.350832223892212,257.0036289691925,84.97023485589312,8497.023485589314,10833.75592893262,17.942849999999993,2318.789593343307,5294.470963918398,5219.714291395509,3195.706736187136,598.0949999999999,4.637579186686614,5.12157147435737,6.979383520998001,6.553007733055831,6.532046383897837
37,56,2128,5.638733148574829,263.62526297569275,80.53004110393265,8053.0041103932635,9651.159060352147,16.153575,1582.0013749588838,4674.4852676163555,4651.245305188582,3254.2848754721044,538.4525,3.164002749917768,5.764937816580568,6.601052371920202,6.815044566041218,7.045881929938998
38,56,2184,6.003760099411011,270.5808982849121,95.04718767327196,9504.718767327196,11035.66216589834,13.525724999999998,1517.4176735711444,5367.535131060026,5343.311825650039,3248.1520918827455,450.85749999999996,3.034835347142289,5.213480144978762,7.329096169604194,6.6537787056150535,7.047835288108844
39,56,2240,6.700809478759766,278.4305214881897,84.56851362859241,8456.85136285924,10229.03251232957,12.396524999999999,1759.7846244703276,4979.971726709726,4933.507078591291,3155.537070285524,413.2175,3.5195692489406554,5.256677671456456,7.197824167743569,6.630547451342946,7.539595798751023
40,56,2296,6.455492258071899,286.1506657600403,91.55955578388124,9155.955578388122,10542.17228270146,19.866074999999995,1366.3506293133373,5138.77468100543,5105.866139229,2975.314624670311,662.2025,2.7327012586266743,5.14264677544575,8.091492157067036,6.572698698495843,7.267464876014396
41,56,2352,5.502456188201904,292.6009638309479,79.2672352577246,7926.723525772461,10333.645439184565,12.632024999999999,2394.289888412106,5054.558990025691,4964.729344392623,3143.57104766251,421.0675,4.7885797768242115,5.252835644968846,7.408275525028306,6.644473407351958,7.847822383981328
42,56,2408,5.565173149108887,299.13139748573303,74.9104958924677,7491.049589246771,10637.576340025818,27.728024999999995,3118.798725779048,5293.574781998601,5105.425150857091,2385.764071701267,924.2675,6.237597451558097,5.187159136064185,8.532012857882087,6.56007696887228,8.174744877071936
43,56,2464,5.258354425430298,305.36126255989075,66.88010837253594,6688.010837253594,10064.952014570837,23.92455,3353.0166273172445,5011.900318498599,4833.753504801034,2192.981912712051,797.485,6.706033254634489,5.263043992437775,10.666371353961814,6.601031226598009,8.247203825683407
44,56,2520,7.112305402755737,313.58941626548767,79.50891979342101,7950.891979342101,10630.365441225329,26.746049999999997,2652.7274118832274,5230.975614614481,5090.740756475745,3086.490701351017,891.535,5.305454823766455,5.157284768613592,7.078128555501684,6.524463823010025,7.913560882375563
45,56,2576,5.182311058044434,319.67910504341125,92.71458370784913,9271.458370784912,10829.93999208144,15.696749999999998,1542.7848712965272,5302.075302426532,5233.020301262984,2948.4438839192185,523.2249999999999,3.085569742593054,5.112502052950087,8.017686635990968,6.4043890314913705,7.602511802273982
