target,time,prbs_segment,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_q_NaOH_m3_d,stage1_u_NaOH_kmol_d,stage1_q_HCl_m3_d,stage1_u_HCl_kmol_d,stage2_q_NaOH_m3_d,stage2_u_NaOH_kmol_d,stage2_q_HCl_m3_d,stage2_u_HCl_kmol_d
stage1,14.32291667,8,7.0,7.0,6.955378827517285,7.010838717299906,1.2135133556102804,30.33783389025701,0.0,0.0,0.0,0.0,2.9490475274136028,33.324237059773715
stage1,14.33333333,8,7.0,7.0,6.955443158684622,7.010835219211712,1.2135133556102804,30.33783389025701,0.0,0.0,0.0,0.0,2.9490475274136028,33.324237059773715
stage1,14.34375,8,7.0,7.0,6.955504183439766,7.010832012595437,1.2165572052924876,30.41393013231219,0.0,0.0,0.0,0.0,2.9509693290906913,33.34595341872481
stage1,14.35416667,8,7.0,7.0,6.9556072493780015,7.010827115753724,1.2165572052924876,30.41393013231219,0.0,0.0,0.0,0.0,2.9509693290906913,33.34595341872481
stage1,14.36458333,8,7.0,7.0,6.955702532659162,7.010822894051085,1.2165572052924876,30.41393013231219,0.0,0.0,0.0,0.0,2.9509693290906913,33.34595341872481
stage1,14.375,8,7.0,7.0,6.955796532233932,7.010818908809902,1.2165572052924876,30.41393013231219,0.0,0.0,0.0,0.0,2.9509693290906913,33.34595341872481
stage1,14.38541667,8,7.0,7.0,6.955885309694444,7.010815390784181,1.216233113947167,30.405827848679174,0.0,0.0,0.0,0.0,2.952390353355124,33.36201099291291
stage1,14.39583333,8,7.0,7.0,6.9559671714985765,7.010810630299195,1.216233113947167,30.405827848679174,0.0,0.0,0.0,0.0,2.952390353355124,33.36201099291291
stage1,14.40625,8,7.0,7.0,6.956045164218129,7.010806516479087,1.216233113947167,30.405827848679174,0.0,0.0,0.0,0.0,2.952390353355124,33.36201099291291
stage1,14.41666667,8,7.0,7.0,6.956120369326614,7.010802631942654,1.216233113947167,30.405827848679174,0.0,0.0,0.0,0.0,2.952390353355124,33.36201099291291
