time,pH_sp,stage1_pH,stage2_pH,q_NaOH_m3_d,u_NaOH_kmol_d,q_HCl_m3_d,u_HCl_kmol_d,stage1_T_K,stage2_T_K,stage1_V_liq_m3,stage2_V_liq_m3,stage1_HRT_d,stage2_HRT_d,prbs_segment
1.385416667,7.0,7.07632164417288,7.00691114746789,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.395833333,7.0,7.075037583950177,7.006872923374056,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.40625,7.0,7.0737506446516365,7.006921065788657,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.416666667,7.0,7.072460885175921,7.006890497696703,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.427083333,7.0,7.0711683624562225,7.006951156920274,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.4375,7.0,7.06987313095016,7.006917100527208,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.447916667,7.0,7.0685752447080334,7.006988264860703,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.458333333,7.0,7.067274755957901,7.006954702303403,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.46875,7.0,7.065971714590942,7.007028620156577,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.479166667,7.0,7.064666170223337,7.00699940736454,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.489583333,7.0,7.063358170780974,7.0070763709487975,0.0,0.0,0.9289614594826351,10.497264492153777,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.5,7.0,7.062047761980785,7.007051292710312,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.510416667,7.0,7.06073498938594,7.007104179972274,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.520833333,7.0,7.0594198969906845,7.007058342273182,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.53125,7.0,7.058102526697887,7.007124170061622,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.541666667,7.0,7.056782920367448,7.007079673378646,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.552083333,7.0,7.055461118401759,7.007148730453267,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.5625,7.0,7.054137159219532,7.007108854836358,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.572916667,7.0,7.052811081297594,7.007181433905767,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.583333333,7.0,7.051482921757131,7.007145427991374,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.59375,7.0,7.050152715834276,7.007221464644869,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
1.604166667,7.0,7.048820498915127,7.007189084245404,0.0,0.0,0.9595686839162441,10.843126128253559,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
