target,segment,start_d,end_d,duration_d,pH_sp,direction,pH_start,pH_end,pH_min,pH_max,overshoot_pH,MAE_pH,RMSE_pH,final_abs_error_pH,settle_time_to_0p05_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,NaOH_sat_fraction,HCl_sat_fraction
stage2,5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,up,7.012249087220205,8.393856407100383,7.012249087220205,8.40407590191191,0.004075901911908986,0.11575679740801387,0.28995382283071836,0.00614359289961719,0.3252715969298814,47.89497282067453,0.503067034573043,0.0,0.0
stage2,6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,down,8.393870192104538,7.013919794883085,7.013895834588961,8.393912779699713,0.0,0.08615438695579243,0.27051487186493095,0.013919794883085146,0.35144410294911843,0.24540116367558093,100.0,0.0,0.04054054054054054
stage2,7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,up,7.013880120378266,8.39620025207479,7.013880120378266,8.404085862921194,0.00408586292119395,0.06317264241442344,0.21856906433093373,0.0037997479252105393,0.3335383019739062,47.83791579443524,2.2586315302401494,0.0,0.0
stage2,8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,down,8.396215733051392,7.016427643700262,7.016427643700262,8.396246887185576,0.0,0.07681166060497227,0.2357368586095031,0.016427643700262173,0.4921499881312492,0.23155682268136868,100.0,0.0,0.03435114503816794
stage2,9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,up,7.016443382324187,8.39561807381167,7.016403829976218,8.408991356675653,0.00899135667565254,0.07435568607404706,0.23969276549402693,0.004381926188329999,0.3269062796646338,47.915114355716824,2.7607090289154663,0.0,0.0
stage2,10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,down,8.395635463900785,7.01996359766287,7.019926681149241,8.395670445455139,0.0,0.10003790563937466,0.2719578487271578,0.019963597662870036,0.566819786909253,0.2281679961623868,100.0,0.0,0.04568527918781726
stage2,11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,up,7.019890980006855,8.394388826016703,7.019849961939053,8.403915762383924,0.003915762383924104,0.1445548240373689,0.35727330992733347,0.005611173983297135,0.3609002328683637,47.63157208413447,3.122557406643899,0.0,0.0
stage2,12,21.56059095521877,24.390649715286827,2.830058760068056,7.0,down,8.394399770620614,7.019693853446319,7.019693853446319,8.394399770620614,0.0,0.06715726899573328,0.19791934043836965,0.01969385344631913,0.4602423747812274,0.0,100.0,0.0,0.03308823529411765
stage2,13,24.390649715286827,25.78847660363983,1.397826888353002,8.4,up,7.0196998502914685,8.39474678847915,7.01965882068653,8.403983809719264,0.003983809719263931,0.11462912021657928,0.30877357810168377,0.005253211520850343,0.34893361471317164,47.639075452219025,3.238831628558408,0.0,0.0
stage2,14,25.78847660363983,28.317539850249815,2.5290632466099865,7.0,down,8.39476462144871,7.0215168972522415,7.021503912519633,8.39481866812701,0.0,0.09189786384402479,0.2605936930208852,0.021516897252241485,0.5761067263601696,0.22489083559161138,100.0,0.0,0.037037037037037035
stage2,15,28.317539850249815,29.855945559690575,1.5384057094407595,8.4,up,7.021466453912057,8.395043567518764,7.021425802808247,8.403998097372831,0.0039980973728308555,0.113519300117131,0.3147280376690809,0.004956432481236561,0.3595434797501831,47.57797409576507,3.4134602270726897,0.0,0.0
stage2,16,29.855945559690575,32.195212585345345,2.3392670256547703,7.0,down,8.395061777836567,7.022665404409047,7.0226324185581905,8.395135336999662,0.0,0.10667756143341367,0.28767220652831477,0.02266540440904663,0.6648877703094236,0.22186444598786764,100.0,0.0,0.04017857142857143
stage2,17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,up,7.022598730764752,8.395009054905035,7.022598730764752,8.40400019215688,0.004000192156880189,0.154797488929395,0.33571759084110847,0.004990945094965227,0.32562074465465685,47.53777915815336,0.49372257967755906,0.0,0.0
stage2,18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,down,8.394953158041238,7.02600944236442,7.025984825174355,8.394953158041238,0.0,0.14608937351042753,0.3344028226177734,0.026009442364419932,0.4848410207999905,0.17683149196121656,100.0,0.0,0.08035714285714286
stage2,19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,up,7.02591951651282,8.397128125869623,7.025850665173276,8.408833579028228,0.008833579028227234,0.21845931919359,0.43234596056276836,0.002871874130377705,0.33582530992303816,47.58796240302041,3.715761552437545,0.0,0.0
stage2,20,34.9103586089267,37.711623709005586,2.8012651000788864,7.0,down,8.396917737518715,7.022983886745137,7.0229829396218,8.396917737518715,0.0,0.07010251886107596,0.19984571218059405,0.02298388674513685,0.4438080610732982,0.0,100.0,0.0,0.03345724907063197
stage2,21,37.711623709005586,40.0,2.288376290994414,8.4,up,7.022939602274624,8.39635165530978,7.022938861977542,8.404124076055162,0.0041240760551612965,0.06499866512424295,0.22158797634216512,0.0036483446902195737,0.34045962099441596,47.526040325875854,3.6506171979538697,0.0,0.0
